input1 input2
1.211863 1.253378
3.743655 1.914904
1.741848 1.831379
3.187106 3.941042
3.444495 3.664904
0.194604 0.350274
1.547505 2.572700
1.361167 1.541549
0.583163 2.039280
3.748335 1.093975
2.603256 3.039217
2.309200 1.364047
1.735099 1.472423
0.546391 0.641671
0.701675 1.589563
0.363710 3.697086
1.247821 2.911302
2.475610 1.234816
2.892670 1.726748
0.348204 0.760998
0.085093 2.388556
2.073886 2.664014
2.477956 3.574153
2.418926 0.236202
1.754764 3.435143
3.942634 1.676408
0.421350 1.490921
1.977879 3.545046
2.994087 0.779994
0.738292 2.868499
1.270069 2.901499
2.341785 1.230389
2.043608 2.930536
3.822206 0.370730
1.254327 3.377906
2.837144 2.797096
1.910556 1.188737
1.356014 0.134878
0.144903 2.511455
3.062498 3.000352
1.584774 1.285579
0.213120 0.654859
2.347792 0.519742
2.040574 1.499091
0.838851 0.829181
1.811902 1.406036
0.623740 1.200460
2.694009 0.850450
1.981771 1.593613
2.035090 0.754259
2.053988 0.323802
1.856471 3.630421
3.273907 2.035895
2.653119 1.092941
3.550630 3.370033
3.001015 2.542852
0.176798 2.074983
1.592400 1.388319
0.724322 2.296247
2.971592 1.044364
2.408277 2.597521
0.392537 3.685718
0.702042 2.504190
3.979890 0.037488
0.334793 3.660493
2.382131 1.747462
3.374686 1.084467
0.947256 2.791876
2.932654 2.183171
3.763784 0.415133
1.746991 3.687535
0.606302 0.912717
3.505210 2.762686
0.862831 2.061961
2.319512 1.501601
2.082687 2.226667
3.778983 2.129064
0.420736 2.904463
3.465654 0.361042
2.401901 0.662708
2.857082 2.837821
2.886151 0.688214
2.629523 2.260595
0.079837 2.390857
1.229006 3.926323
0.659004 1.466136
0.730534 2.016962
3.695971 1.189752
0.480524 2.979310
2.583866 0.729268
2.331397 0.365620
0.799868 1.700234
2.758573 0.759525
3.599802 2.641084
2.702835 2.933690
1.570032 1.670908
3.400005 3.697136
3.599027 1.919554
0.617367 1.211941
3.114227 1.276077
3.817911 3.929000
2.483190 0.454070
0.563189 2.007413
3.643623 2.285291
0.012676 1.155587
1.973336 2.811379
2.489300 1.164312
2.395195 1.478907
1.444949 3.619598
2.277104 3.375500
0.028136 1.094833
1.027077 0.599516
1.150771 0.304377
0.170926 1.107177
0.212094 3.505109
2.871248 1.607000
0.380984 1.809979
2.873018 3.072482
3.998413 3.708522
2.347481 1.191366
1.711360 3.896226
3.111138 0.697402
0.628318 0.637103
0.913814 1.653472
2.810847 2.406986
2.355112 1.942304
1.488187 0.679812
2.956611 0.020640
0.235250 1.323944
3.470004 1.571420
3.390055 0.524193
2.093019 1.154176
2.119292 2.651449
0.183105 0.345951
0.385617 2.572384
1.141818 2.564821
1.398304 0.988071
2.181697 0.786509
3.260470 1.838874
0.025290 1.669203
1.064170 1.038856
3.409914 3.059719
2.657771 2.494023
